;NCDC hourly QCLCD data for PHILADELPHIA INTERNATIONAL AIRPORT (13739) 
;modifed Apr 29th storm by scaling the total from 4.81" to 2.95" (04/29/2014 12:00 to 05/01/2014  2:00)
;modified Jun 10th storm by scaling the total from 2.56" tp 1.95" and splitting the peak hour into an extra hour (06/10/2014 15:00 - 06/10/2014 17:00)
12/09/2014 13:00 0.01 13739
12/09/2014 14:00 0.02 13739
12/09/2014 15:00 0.02 13739
12/09/2014 16:00 0.01 13739
12/11/2014  2:00 0.01 13739
12/11/2014  4:00 0.01 13739
12/11/2014 14:00 0.01 13739
12/11/2014 15:00 0.01 13739
12/16/2014 15:00 0.06 13739
12/16/2014 16:00 0.01 13739
12/16/2014 19:00 0.02 13739
12/16/2014 20:00 0.02 13739
12/16/2014 21:00 0.01 13739
12/22/2014 21:00 0.01 13739
12/22/2014 22:00 0.01 13739
12/23/2014  6:00 0.01 13739
12/23/2014  7:00 0.02 13739
12/23/2014  8:00 0.01 13739
12/23/2014  9:00 0.02 13739
12/23/2014 10:00 0.02 13739
12/23/2014 11:00 0.02 13739
12/23/2014 13:00 0.01 13739
12/24/2014  4:00 0.07 13739
12/24/2014  5:00 0.08 13739
12/24/2014  6:00 0.05 13739
12/24/2014  7:00 0.05 13739
12/24/2014  8:00 0.07 13739
12/24/2014  9:00 0.06 13739
12/24/2014 10:00 0.04 13739
12/24/2014 11:00 0.04 13739
12/24/2014 12:00 0.09 13739
12/24/2014 13:00 0.07 13739
12/24/2014 14:00 0.03 13739
12/24/2014 15:00 0.06 13739
12/24/2014 16:00 0.08 13739
12/24/2014 17:00 0.03 13739
12/25/2014  5:00 0.02 13739
12/25/2014  6:00 0.01 13739
12/28/2014 10:00 0.01 13739
12/28/2014 19:00 0.01 13739
