FID,ID,GRIDCODE,Descriptio,area_ac
0,44212.000000000000000,7.000000000000000,Capitol clay loam,0.0087014
1,44228.000000000000000,12.000000000000000,Capitol clay loam (very steep shallow phase),0.0192747
2,44297.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0414278
3,44305.000000000000000,12.000000000000000,Capitol clay loam (very steep shallow phase),0.2630670
4,44306.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.3344240
5,44352.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0087014
6,44353.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0085150
7,44357.000000000000000,12.000000000000000,Capitol clay loam (very steep shallow phase),0.0298554
8,44358.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0892190
9,44362.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0042700
10,44369.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0283595
11,44375.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0210287
12,44400.000000000000000,31.000000000000000,Woburn clay loam,0.0042700
13,44406.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0238816
14,44426.000000000000000,31.000000000000000,Woburn clay loam,0.0085150
15,44431.000000000000000,7.000000000000000,Capitol clay loam,0.0256288
16,44432.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0374184
17,44483.000000000000000,31.000000000000000,Woburn clay loam,0.0486913
18,44450.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.2005310
19,44502.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.1120590
20,44509.000000000000000,31.000000000000000,Woburn clay loam,0.0165655
21,44514.000000000000000,31.000000000000000,Woburn clay loam,0.1538390
22,44574.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0062364
23,44545.000000000000000,12.000000000000000,Capitol clay loam (very steep shallow phase),0.0311821
24,44546.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0249456
25,44547.000000000000000,31.000000000000000,Woburn clay loam,0.0878630
26,44567.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0062364
27,44590.000000000000000,31.000000000000000,Woburn clay loam,0.1695050
28,44597.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0167588
29,44612.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.1311060
30,44613.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),5.3847499
31,44640.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0042700
32,44648.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0147739
33,44655.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0165655
34,44669.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0042700
35,44707.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0042700
36,44789.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0084171
37,44801.000000000000000,31.000000000000000,Woburn clay loam,0.2073470
38,44817.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0042701
39,44831.000000000000000,31.000000000000000,Woburn clay loam,0.0167589
40,44889.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0453476
41,44890.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0820772
42,44966.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0042701
43,44967.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0147740
44,44934.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0724945
45,44951.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0167589
46,44962.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0084171
47,44963.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0192558
48,44982.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0084172
49,44983.000000000000000,31.000000000000000,Woburn clay loam,0.0327284
50,44988.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0210512
51,45043.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0062365
52,45048.000000000000000,31.000000000000000,Woburn clay loam,0.1771960
53,45059.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0670141
54,45092.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0717054
55,45162.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0381150
56,45171.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0725564
57,45146.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.1487020
58,45156.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0348831
59,45191.000000000000000,31.000000000000000,Woburn clay loam,0.0062365
60,45192.000000000000000,31.000000000000000,Woburn clay loam,0.0310003
61,45196.000000000000000,31.000000000000000,Woburn clay loam,0.0062365
62,45240.000000000000000,1.000000000000000,Beach,0.0192562
63,45223.000000000000000,1.000000000000000,Beach,0.2610270
64,45253.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.5999080
65,45254.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0515594
66,45257.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0586862
